order_number,created_at,created_day,weekday,hour_of_day,month,user_id,user_segment,user_orders_90d,user_spent_90d,user_avg_order_value_90d,user_days_since_last_order,item_count,total_quantity,subtotal,tax,shipping_fee,discount_amount,total_amount,avg_item_price,payment_method,payment_status,has_voucher,voucher_code,qty_low_cal,qty_balanced,qty_high_protein,qty_vegetarian,current_status,age_hours,label_cancelled,label_delay_risk,label_payment_unpaid
ORD-20260312-001,2026-03-11T18:35:17.384Z,2026-03-11,4,1,3,69aa99b0473b0839af00a703,vip,191,113735525,595474,-6,2,3,569700,45576,0,56970,558306,284850,momo,paid,1,WELCOME10,1,2,0,0,completed,135.39,0,0,0
ORD-20260312-002,2026-03-11T06:35:17.384Z,2026-03-11,3,13,3,69b25ea48b3f1480a7392473,vip,181,105775782,584397,-7,1,1,229900,18392,25000,0,273292,229900,cash,paid,0,,0,0,1,0,completed,147.39,0,0,0
ORD-20260312-003,2026-03-10T18:35:17.384Z,2026-03-10,3,1,3,69b25ea48b3f1480a7392476,vip,150,89643893,597626,-7,2,3,519700,41576,0,51970,509306,259850,card,paid,1,EATOMO50K,0,1,0,2,completed,159.39,0,0,0
ORD-20260312-004,2026-03-10T06:35:17.384Z,2026-03-10,2,13,3,69b25ea58b3f1480a7392479,vip,163,94135852,577521,-8,1,3,419700,33576,0,0,453276,419700,momo,paid,0,,3,0,0,0,completed,171.39,0,0,0
ORD-20260312-005,2026-03-09T18:35:17.384Z,2026-03-09,2,1,3,69b25ea58b3f1480a739247c,vip,155,96850711,624843,-8,2,3,729700,58376,0,72970,715106,364850,bank_transfer,paid,1,VIP100K,0,1,2,0,completed,183.39,0,0,0
ORD-20260312-006,2026-03-09T06:35:17.384Z,2026-03-09,1,13,3,69b25ea58b3f1480a739247f,vip,117,66314623,566792,-9,2,3,429700,34376,0,42970,421106,214850,cash,paid,1,VEGGIE25,0,0,0,3,completed,195.39,0,0,0
ORD-20260312-007,2026-03-08T18:35:17.384Z,2026-03-08,1,1,3,69b25ea58b3f1480a7392482,vip,89,51282842,576212,-9,2,2,384800,30784,0,0,415584,192400,momo,paid,0,,0,1,1,0,completed,207.39,0,0,0
ORD-20260312-008,2026-03-08T06:35:17.384Z,2026-03-08,0,13,3,69aa99b0473b0839af00a703,vip,191,113735525,595474,-10,1,2,479800,38384,0,47980,470204,479800,card,paid,1,HEALTHY20,0,0,2,0,completed,219.39,0,0,0
ORD-20260312-009,2026-03-07T18:35:17.384Z,2026-03-07,0,1,3,69b25ea48b3f1480a7392473,vip,181,105775782,584397,-10,2,3,524700,41976,0,0,566676,262350,cash,paid,0,,1,2,0,0,completed,231.39,0,0,0
ORD-20260312-010,2026-03-07T06:35:17.384Z,2026-03-07,6,13,3,69b25ea48b3f1480a7392476,vip,150,89643893,597626,-11,2,2,459800,36784,0,45980,450604,229900,momo,paid,1,PROTEIN10,0,1,1,0,delivering,243.39,0,1,0
ORD-20260312-011,2026-03-06T18:35:17.384Z,2026-03-06,6,1,3,69b25ea58b3f1480a7392479,vip,163,94135852,577521,-11,1,2,309800,24784,0,0,334584,309800,cash,unpaid,0,,2,0,0,0,delivering,255.39,0,1,1
ORD-20260312-012,2026-03-06T06:35:17.384Z,2026-03-06,5,13,3,69b25ea58b3f1480a739247c,vip,155,96850711,624843,-12,2,2,469800,37584,0,0,507384,234900,card,paid,0,,0,1,1,0,preparing,267.39,0,1,0
ORD-20260312-013,2026-03-05T18:35:17.384Z,2026-03-05,5,1,3,69b25ea58b3f1480a7392482,vip,89,51282842,576212,-12,2,4,549600,43968,0,54960,538608,274800,momo,paid,1,VEGGIE25,0,0,0,4,preparing,279.39,0,1,0
ORD-20260312-014,2026-03-05T06:35:17.384Z,2026-03-05,4,13,3,69b25ea58b3f1480a739247f,vip,117,66314623,566792,-13,1,2,399800,31984,0,0,431784,399800,momo,paid,0,,0,2,0,0,confirmed,291.39,0,1,0
ORD-20260312-015,2026-03-04T18:35:17.384Z,2026-03-04,4,1,3,69aa99b0473b0839af00a703,vip,191,113735525,595474,-13,2,2,354800,28384,0,0,383184,177400,cash,unpaid,0,,1,1,0,0,confirmed,303.39,0,1,1
ORD-20260312-016,2026-03-04T06:35:17.384Z,2026-03-04,3,13,3,69b25ea48b3f1480a7392473,vip,181,105775782,584397,-14,2,3,569700,45576,0,0,615276,284850,momo,unpaid,0,,2,0,1,0,pending,315.39,0,1,1
ORD-20260312-017,2026-03-03T18:35:17.384Z,2026-03-03,3,1,3,69b25ea48b3f1480a7392476,vip,150,89643893,597626,-14,2,3,529700,42376,0,52970,519106,264850,card,unpaid,1,FIRSTORDER30,0,2,0,1,pending,327.39,0,1,1
ORD-20260312-018,2026-03-03T06:35:17.384Z,2026-03-03,2,13,3,69b25ea58b3f1480a7392479,vip,163,94135852,577521,-15,1,2,399800,31984,0,0,431784,399800,bank_transfer,unpaid,0,,0,2,0,0,pending,339.39,0,1,1
ORD-20260312-019,2026-03-02T18:35:17.384Z,2026-03-02,2,1,3,69b25ea58b3f1480a739247c,vip,155,96850711,624843,-15,1,1,239900,19192,25000,0,284092,239900,cash,unpaid,0,,0,0,1,0,cancelled,351.39,1,0,1
ORD-20260312-020,2026-03-02T06:35:17.385Z,2026-03-02,1,13,3,69aa99b0473b0839af00a703,vip,191,113735525,595474,-16,2,3,514700,41176,0,0,555876,257350,momo,refunded,0,,2,1,0,0,cancelled,363.39,1,0,0
ORD-20260312-021,2026-03-03T07:06:46.612Z,2026-03-03,2,14,3,69b266062929890d1d18ecb7,vip,106,64059766,604337,-15,2,3,529700,42376,0,52970,519106,264850,cash,paid,1,FREESHIP,1,2,0,0,completed,338.86,0,0,0
ORD-20260312-022,2026-03-04T07:06:46.612Z,2026-03-04,3,14,3,69b266062929890d1d18ecb4,vip,85,49600176,583531,-22,2,3,449700,35976,0,44970,440706,224850,momo,paid,1,VEGGIE25,0,0,0,3,completed,314.86,0,0,0
ORD-20260312-023,2026-03-11T07:06:46.612Z,2026-03-11,3,14,3,69b25ea48b3f1480a7392476,vip,150,89643893,597626,-7,2,2,459800,36784,0,45980,450604,229900,momo,paid,1,PROTEIN10,0,1,1,0,delivering,146.86,0,1,0
ORD-20260312-024,2026-03-11T07:06:46.612Z,2026-03-11,3,14,3,69b25ea58b3f1480a7392479,vip,163,94135852,577521,-7,1,2,309800,24784,0,0,334584,309800,cash,unpaid,0,,2,0,0,0,delivering,146.86,0,1,1
ORD-20260312-025,2026-03-11T07:06:46.612Z,2026-03-11,3,14,3,69b266062929890d1d18ecba,regular,18,11013022,611835,-5,2,3,629700,50376,0,62970,617106,314850,card,paid,1,EATOMO50K,0,2,1,0,delivering,146.86,0,1,0
